resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,year,round,circuitId,name,date,circuitRef,country,lat,lng,alt,driverRef,dob,nationality_driver,constructorRef,nationality_constructor,status,driver_age,is_dnf,podium,in_points,driver_standing_pts,driver_standing_pos,driver_wins_so_far,constructor_standing_pts,constructor_standing_pos,constructor_wins_so_far,quali_position,best_quali_sec,quali_gap_to_pole,pit_stop_count
20025,833,642,51,2.0,1,1.0,1,1,9.0,70,2:13:23.6,8003600.0,,,,,1,1950,1,9,British Grand Prix,1950-05-13,silverstone,UK,52.0786,-1.01694,153,farina,1906-10-30,Italian,alfa,Swiss,Finished,43.5,0,1,1,9.0,1.0,1.0,,,,,,,0
20026,833,786,51,3.0,2,2.0,2,2,6.0,70,+2.6,8006200.0,,,,,1,1950,1,9,British Grand Prix,1950-05-13,silverstone,UK,52.0786,-1.01694,153,fagioli,1898-06-09,Italian,alfa,Swiss,Finished,51.9,0,1,1,6.0,2.0,0.0,,,,,,,0
20027,833,686,51,4.0,4,3.0,3,3,4.0,70,+52.0,8055600.0,,,,,1,1950,1,9,British Grand Prix,1950-05-13,silverstone,UK,52.0786,-1.01694,153,reg_parnell,1911-07-02,British,alfa,Swiss,Finished,38.9,0,1,1,4.0,3.0,0.0,,,,,,,0
20028,833,704,154,14.0,6,4.0,4,4,3.0,68,,,,,,,12,1950,1,9,British Grand Prix,1950-05-13,silverstone,UK,52.0786,-1.01694,153,cabantous,1904-10-08,French,lago,French,+2 Laps,45.6,0,0,1,3.0,4.0,0.0,,,,,,,0
20029,833,627,154,15.0,9,5.0,5,5,2.0,68,,,,,,,12,1950,1,9,British Grand Prix,1950-05-13,silverstone,UK,52.0786,-1.01694,153,rosier,1905-11-05,French,lago,French,+2 Laps,44.5,0,0,1,2.0,5.0,0.0,,,,,,,0
20030,833,619,151,12.0,13,6.0,6,6,0.0,67,,,,,,,13,1950,1,9,British Grand Prix,1950-05-13,silverstone,UK,52.0786,-1.01694,153,gerard,1914-01-19,British,era,British,+3 Laps,36.3,0,0,0,0.0,6.0,0.0,,,,,,,0
20031,833,787,151,11.0,15,7.0,7,7,0.0,67,,,,,,,13,1950,1,9,British Grand Prix,1950-05-13,silverstone,UK,52.0786,-1.01694,153,harrison,1906-07-06,British,era,British,+3 Laps,43.9,0,0,0,0.0,7.0,0.0,,,,,,,0
20032,833,741,154,16.0,14,8.0,8,8,0.0,65,,,,,,,15,1950,1,9,British Grand Prix,1950-05-13,silverstone,UK,52.0786,-1.01694,153,etancelin,1896-12-28,French,lago,French,+5 Laps,53.4,0,0,0,0.0,8.0,0.0,,,,,,,0
20033,833,784,105,6.0,16,9.0,9,9,0.0,64,,,,,,,16,1950,1,9,British Grand Prix,1950-05-13,silverstone,UK,52.0786,-1.01694,153,hampshire,1917-12-29,British,maserati,Italian,+6 Laps,32.4,0,0,0,0.0,9.0,0.0,,,,,,,0
20034,833,778,105,10.0,20,10.0,10,10,0.0,64,,,,,,,16,1950,1,9,British Grand Prix,1950-05-13,silverstone,UK,52.0786,-1.01694,153,shawe_taylor,1915-01-28,British,maserati,Italian,+6 Laps,35.3,0,0,0,0.0,11.0,0.0,,,,,,,0
20177,833,788,105,10.0,20,10.0,10,10,0.0,64,,,,,,,16,1950,1,9,British Grand Prix,1950-05-13,silverstone,UK,52.0786,-1.01694,153,fry,1915-10-26,British,maserati,Italian,+6 Laps,34.5,0,0,0,0.0,10.0,0.0,,,,,,,0
